method,W,p_value,normal
PCA_3_KMeans_n_clusters9_n_init10_random_state42,0.9868767995428726,0.8483094971278887,True
PCA_3_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.9857121993562006,0.8017488126013324,True
PCA_3_GMM_n_components10_covariance_typefull_random_state42,0.9824707248277803,0.6597691651645745,True
PCA_3_Agglomerative_n_clusters10_linkageward,0.9760428469264865,0.3995974462796634,True
PCA_3_KMeans_n_clusters10_n_init10_random_state42,0.9798451537431239,0.5454511569209695,True
PCA_3_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.9784679754787472,0.48931646350359786,True
PCA_4_DBSCAN_eps0.1_min_samples5,0.9058017144187749,0.0007511234674995758,False
PCA_4_DBSCAN_eps0.2_min_samples5,0.9340674328402343,0.007902417217969337,False
PCA_4_DBSCAN_eps0.30000000000000004_min_samples5,0.9855395100348231,0.7945363479546269,True
PCA_4_DBSCAN_eps0.4_min_samples5,0.9837255482320374,0.7157412478346902,True
PCA_4_DBSCAN_eps0.5_min_samples5,0.9676447909352127,0.18532350315204502,True
PCA_4_DBSCAN_eps0.6000000000000001_min_samples5,0.9861013230691956,0.8177361693371625,True
PCA_4_DBSCAN_eps0.7000000000000001_min_samples5,0.9552479459745887,0.056255503745528505,True
PCA_4_DBSCAN_eps0.8_min_samples5,0.8856591708600787,0.00016692285913611426,False
PCA_4_DBSCAN_eps0.9_min_samples5,0.6970933818886007,7.342212668765771e-09,False
PCA_4_DBSCAN_eps1.0_min_samples5,0.6590988864658198,1.637154232851122e-09,False
PCA_4_GMM_n_components2_covariance_typefull_random_state42,0.9784998169705168,0.4905751498575947,True
PCA_4_Agglomerative_n_clusters2_linkageward,0.7778478442303037,2.808185006506368e-07,False
PCA_4_KMeans_n_clusters2_n_init10_random_state42,0.9728928517248433,0.30228696711198566,True
PCA_4_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.7591558307971022,1.1319346389823693e-07,False
PCA_4_GMM_n_components3_covariance_typefull_random_state42,0.9526530664026405,0.043891293516419475,False
PCA_4_Agglomerative_n_clusters3_linkageward,0.9364998344041651,0.009818146950459473,False
PCA_4_KMeans_n_clusters3_n_init10_random_state42,0.9376908698570658,0.01092845178302206,False
PCA_4_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.650387010725368,1.1787698466112344e-09,False
PCA_4_GMM_n_components4_covariance_typefull_random_state42,0.9580953819006368,0.07397573417915117,True
PCA_4_Agglomerative_n_clusters4_linkageward,0.9366128180661846,0.009918202374995851,False
PCA_4_KMeans_n_clusters4_n_init10_random_state42,0.9785556777572582,0.4927880433065109,True
PCA_4_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.8906433724313624,0.0002392929932313543,False
PCA_4_GMM_n_components5_covariance_typefull_random_state42,0.9630013691337758,0.11874963831933483,True
PCA_4_Agglomerative_n_clusters5_linkageward,0.9806461271634384,0.5795176533839562,True
PCA_4_KMeans_n_clusters5_n_init10_random_state42,0.9590182287552251,0.08085935999855552,True
PCA_4_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.9779938466811469,0.4708102716038586,True
PCA_4_GMM_n_components6_covariance_typefull_random_state42,0.975873968290281,0.39382256396255266,True
PCA_4_Agglomerative_n_clusters6_linkageward,0.9878161721152259,0.8825055063749516,True
