method,W,p_value,normal
PCA_4_Agglomerative_n_clusters8_linkageward,0.9596843418093844,0.08622619073241122,True
PCA_4_KMeans_n_clusters8_n_init10_random_state42,0.9804089426484041,0.5693355675973628,True
PCA_4_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.9832330279716663,0.6938007999561443,True
PCA_4_GMM_n_components9_covariance_typefull_random_state42,0.9675918608130383,0.18439344766267948,True
PCA_4_Agglomerative_n_clusters9_linkageward,0.9745247399480614,0.34996318979461116,True
PCA_4_KMeans_n_clusters9_n_init10_random_state42,0.9748110456294404,0.3589314640598059,True
PCA_4_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.9753455072825944,0.3761610113390323,True
PCA_4_GMM_n_components10_covariance_typefull_random_state42,0.9903468865056821,0.9539230331110866,True
PCA_4_Agglomerative_n_clusters10_linkageward,0.9836562118778054,0.7126590216044199,True
PCA_4_KMeans_n_clusters10_n_init10_random_state42,0.9875072090162456,0.8716445179784811,True
PCA_4_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.9863523512742021,0.8278343037506171,True
PCA_5_DBSCAN_eps0.1_min_samples5,0.9138664230832495,0.0014254518656983005,False
PCA_5_DBSCAN_eps0.2_min_samples5,0.9723460269176685,0.287594104889212,True
PCA_5_DBSCAN_eps0.30000000000000004_min_samples5,0.9386288912758038,0.01189524086759847,False
PCA_5_DBSCAN_eps0.4_min_samples5,0.9752016262589343,0.37146009970805344,True
PCA_5_DBSCAN_eps0.5_min_samples5,0.9799529621983112,0.5499815869458214,True
PCA_5_DBSCAN_eps0.6000000000000001_min_samples5,0.9621840213383328,0.10974972954368568,True
PCA_5_DBSCAN_eps0.7000000000000001_min_samples5,0.9651231336617744,0.14564102570869095,True
PCA_5_DBSCAN_eps0.8_min_samples5,0.9753280573784205,0.37558842650650265,True
PCA_5_DBSCAN_eps0.9_min_samples5,0.9656721790333819,0.15351507029803657,True
PCA_5_DBSCAN_eps1.0_min_samples5,0.9457051757234531,0.022791909030136285,False
PCA_5_GMM_n_components2_covariance_typefull_random_state42,0.7153430815249314,1.576792706292987e-08,False
PCA_5_Agglomerative_n_clusters2_linkageward,0.7202099867890571,1.9434921157092947e-08,False
PCA_5_KMeans_n_clusters2_n_init10_random_state42,0.9735464656578137,0.3206859106249817,True
PCA_5_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.39318188833628664,4.4356446399260983e-13,False
PCA_5_GMM_n_components3_covariance_typefull_random_state42,0.7677640029099202,1.7105732731425676e-07,False
PCA_5_Agglomerative_n_clusters3_linkageward,0.8663961917587502,4.435646015158194e-05,False
PCA_5_KMeans_n_clusters3_n_init10_random_state42,0.9800407353124151,0.5536832904685,True
PCA_5_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.8489605089412595,1.4502038468914068e-05,False
PCA_5_GMM_n_components4_covariance_typefull_random_state42,0.9491579665252544,0.031506389917840744,False
PCA_5_Agglomerative_n_clusters4_linkageward,0.9579984272723737,0.0732878128108594,True
PCA_5_KMeans_n_clusters4_n_init10_random_state42,0.9681547660042259,0.1945143020998128,True
PCA_5_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.6318653878359699,5.967116378424673e-10,False
PCA_5_GMM_n_components5_covariance_typefull_random_state42,0.8887443247222315,0.00020842421526269715,False
PCA_5_Agglomerative_n_clusters5_linkageward,0.7869540753641957,4.445888244115589e-07,False
PCA_5_KMeans_n_clusters5_n_init10_random_state42,0.9631647420009632,0.12063413440922988,True
PCA_5_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.8519026534883818,1.7426250242698988e-05,False
PCA_5_GMM_n_components6_covariance_typefull_random_state42,0.8992627991085913,0.00045433496456599167,False
PCA_5_Agglomerative_n_clusters6_linkageward,0.9670510479574163,0.17514092051673966,True
PCA_5_KMeans_n_clusters6_n_init10_random_state42,0.8906393526628588,0.00023922276639219445,False
PCA_5_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9008742743164749,0.0005135695173897995,False
PCA_5_GMM_n_components7_covariance_typefull_random_state42,0.9443779890633892,0.020146620556307115,False
PCA_5_Agglomerative_n_clusters7_linkageward,0.9751655684485714,0.3702892394413801,True
PCA_5_KMeans_n_clusters7_n_init10_random_state42,0.9202356890736338,0.002404645300777006,False
PCA_5_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.931920838791996,0.00653753359685126,False
PCA_5_GMM_n_components8_covariance_typefull_random_state42,0.9372064512968364,0.0104617687728054,False
PCA_5_Agglomerative_n_clusters8_linkageward,0.9692009043100345,0.214721449487553,True
PCA_5_KMeans_n_clusters8_n_init10_random_state42,0.9878680316126361,0.8842886268433117,True
PCA_5_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.9424801731591173,0.01690706003218079,False
PCA_5_GMM_n_components9_covariance_typefull_random_state42,0.969179597408218,0.21429108808481684,True
PCA_5_Agglomerative_n_clusters9_linkageward,0.9771950863990964,0.4406703548568612,True
PCA_5_KMeans_n_clusters9_n_init10_random_state42,0.9071945955964812,0.0008376183889825766,False
PCA_5_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.8626996616910053,3.478406588800285e-05,False
PCA_5_GMM_n_components10_covariance_typefull_random_state42,0.989202361677542,0.9257975638476111,True
PCA_5_Agglomerative_n_clusters10_linkageward,0.9859150202143997,0.8101298256158973,True
PCA_5_KMeans_n_clusters10_n_init10_random_state42,0.956050739776056,0.0607626140383032,True
PCA_5_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.6941865115127183,6.518518033347651e-09,False
PCA_6_DBSCAN_eps0.1_min_samples5,0.9698556967305435,0.2283425309817373,True
PCA_6_DBSCAN_eps0.2_min_samples5,0.9731000880669043,0.3080210904455952,True
PCA_6_DBSCAN_eps0.30000000000000004_min_samples5,0.966225624105383,0.1618678139386454,True
PCA_6_DBSCAN_eps0.4_min_samples5,0.976148335850908,0.4032367348179027,True
PCA_6_DBSCAN_eps0.5_min_samples5,0.9551435132255602,0.05569481180984567,True
PCA_6_DBSCAN_eps0.6000000000000001_min_samples5,0.9771162687630301,0.43776906850586517,True
PCA_6_DBSCAN_eps0.7000000000000001_min_samples5,0.9669823451370219,0.1739976283403208,True
PCA_6_DBSCAN_eps0.8_min_samples5,0.9742424464605449,0.3412985480560015,True
PCA_6_DBSCAN_eps0.9_min_samples5,0.9805849548611588,0.576884512981095,True
PCA_6_DBSCAN_eps1.0_min_samples5,0.9721020272793102,0.2812401517623919,True
PCA_6_GMM_n_components2_covariance_typefull_random_state42,0.8070592034712135,1.2799119272993114e-06,False
PCA_6_Agglomerative_n_clusters2_linkageward,0.9198459978374244,0.0023279006849505584,False
PCA_6_KMeans_n_clusters2_n_init10_random_state42,0.9523765643273374,0.04274981172883946,False
